user_id,signup_date,city_tier,segment,preferred_device,acquisition_channel,last_active_date,avg_daily_minutes,lifetime_paid_amount,lifetime_paid_months,plan_id,sub_status,sub_end_date,sub_start_date,plan_name,plan_price,tier,tenure_days,days_since_last_active,engagement_band,price_band
u000001,2025-05-27,1,value,mobile,paid_social,2026-01-30,3.325384615384616,1495.0,5,PLN_BASIC,cancelled,2025-10-24,2025-05-27,Basic,299.0,low,248,0,low,low
u000002,2025-11-15,1,regular,web,search,2026-01-30,14.836,598.0,2,PLN_BASIC,active,2026-01-30,2025-11-21,Basic,299.0,low,76,0,medium,low
u000003,2025-10-16,1,regular,web,referral,2026-01-30,12.605188679245284,998.0,2,PLN_STD,cancelled,2026-01-14,2025-10-16,Standard,499.0,mid,106,0,medium,mid
u000004,2025-08-23,2,regular,web,referral,2026-01-30,18.890759493670885,3995.0,5,PLN_PREM,active,2026-01-30,2025-08-29,Premium,799.0,high,160,0,high,high
u000005,2025-08-21,1,regular,mobile,organic,2026-01-30,18.393950617283952,1495.0,5,PLN_BASIC,active,2026-01-30,2025-08-28,Basic,299.0,low,162,0,high,low
u000006,2025-12-06,3,value,mobile,organic,2026-01-30,8.726545454545453,299.0,1,PLN_BASIC,active,2026-01-30,2025-12-12,Basic,299.0,low,55,0,medium,low
u000007,2025-05-26,3,value,mobile,organic,2026-01-30,7.560384615384615,2093.0,7,PLN_BASIC,active,2026-01-30,2025-05-27,Basic,299.0,low,249,0,low,low
u000008,2025-10-27,3,value,web,organic,2026-01-30,10.165578947368422,897.0,3,PLN_BASIC,active,2026-01-30,2025-11-01,Basic,299.0,low,95,0,medium,low
u000009,2025-06-24,2,premium,web,search,2026-01-30,23.016461538461538,5593.0,7,PLN_PREM,active,2026-01-30,2025-07-01,Premium,799.0,high,220,0,high,high
u000010,2025-05-28,3,value,web,organic,2026-01-30,8.054736842105264,3493.0,7,PLN_STD,active,2026-01-30,2025-06-01,Standard,499.0,mid,247,0,low,mid
u000011,2025-09-14,1,premium,mobile,paid_social,2026-01-30,24.998955223880596,3196.0,4,PLN_PREM,active,2026-01-30,2025-09-21,Premium,799.0,high,138,0,high,high
u000012,2026-01-04,2,value,web,organic,2026-01-30,6.275185185185186,299.0,1,PLN_BASIC,cancelled,2026-01-30,2026-01-11,Basic,299.0,low,26,0,low,low
u000013,2025-11-05,2,value,web,organic,2026-01-30,5.774302325581396,598.0,2,PLN_BASIC,active,2026-01-30,2025-11-05,Basic,299.0,low,86,0,low,low
u000014,2025-11-12,3,value,mobile,paid_social,2026-01-30,6.490384615384615,598.0,2,PLN_BASIC,cancelled,2026-01-15,2025-11-16,Basic,299.0,low,79,0,low,low
u000015,2025-11-01,2,value,web,search,2026-01-30,5.609666666666667,598.0,2,PLN_BASIC,cancelled,2026-01-01,2025-11-02,Basic,299.0,low,90,0,low,low
u000016,2025-11-18,3,regular,mobile,search,2026-01-30,15.192916666666669,998.0,2,PLN_STD,active,2026-01-30,2025-11-20,Standard,499.0,mid,73,0,medium,mid
u000017,2025-09-10,1,regular,web,referral,2026-01-30,18.897163120567377,897.0,3,PLN_BASIC,active,2026-01-30,2025-09-11,Basic,299.0,low,142,0,high,low
u000018,2025-06-06,3,value,unknown,email,2026-01-30,9.008476190476191,1794.0,6,PLN_BASIC,active,2026-01-30,2025-06-08,Basic,299.0,low,238,0,medium,low
u000019,2025-12-01,2,regular,web,search,2026-01-30,22.653166666666667,799.0,1,PLN_PREM,active,2026-01-30,2025-12-08,Premium,799.0,high,60,0,high,high
u000020,2025-08-26,2,regular,web,organic,2026-01-30,13.674423076923077,2495.0,5,PLN_STD,active,2026-01-30,2025-08-30,Standard,499.0,mid,157,0,medium,mid
u000021,2025-09-07,3,premium,web,organic,2026-01-30,25.00804347826087,1996.0,4,PLN_STD,active,2026-01-30,2025-09-11,Standard,499.0,mid,145,0,high,mid
u000022,2025-08-06,2,premium,web,email,2026-01-30,27.562823529411766,3995.0,5,PLN_PREM,active,2026-01-30,2025-08-06,Premium,799.0,high,177,0,high,high
u000023,2025-06-19,2,regular,mobile,paid_social,2026-01-30,8.801207729468599,1495.0,5,PLN_BASIC,cancelled,2025-11-19,2025-06-22,Basic,299.0,low,225,0,medium,low
u000024,2025-12-23,2,regular,web,paid_social,2026-01-30,15.598378378378378,499.0,1,PLN_STD,active,2026-01-30,2025-12-24,Standard,499.0,mid,38,0,medium,mid
u000025,2025-11-17,1,regular,web,paid_social,2026-01-30,17.15150684931507,998.0,2,PLN_STD,active,2026-01-30,2025-11-18,Standard,499.0,mid,74,0,high,mid
u000026,2025-10-13,2,regular,mobile,organic,2026-01-30,9.000277777777777,1598.0,2,PLN_PREM,cancelled,2025-12-12,2025-10-13,Premium,799.0,high,109,0,medium,high
u000027,2025-08-14,1,regular,web,search,2026-01-30,6.6640476190476186,897.0,3,PLN_BASIC,cancelled,2025-11-12,2025-08-14,Basic,299.0,low,169,0,low,low
u000028,2025-11-27,1,value,mobile,referral,2026-01-30,2.1453846153846152,0.0,0,PLN_BASIC,expired,2026-01-03,2025-12-04,Basic,299.0,low,64,0,low,low
u000029,2025-09-18,3,regular,mobile,referral,2026-01-30,16.58007575757576,1996.0,4,PLN_STD,active,2026-01-30,2025-09-22,Standard,499.0,mid,134,0,high,mid
u000030,2025-08-24,2,premium,web,organic,2026-01-30,25.495555555555555,3995.0,5,PLN_PREM,active,2026-01-30,2025-08-31,Premium,799.0,high,159,0,high,high
