touch_id,user_id,touch_date,channel,campaign_type,offer_pct,delivered,clicked,redeemed
T00000001,U000001,2025-07-20,push,renewal_reminder,0,1,0,0
T00000002,U000002,2025-12-17,push,renewal_reminder,0,1,0,0
T00000003,U000004,2025-09-24,push,renewal_reminder,0,1,0,0
T00000004,U000004,2025-11-22,push,renewal_reminder,0,1,0,0
T00000005,U000004,2025-12-20,push,renewal_reminder,0,1,0,0
T00000006,U000004,2026-01-19,email,renewal_reminder,0,1,0,0
T00000007,U000005,2025-09-22,push,renewal_reminder,0,1,1,0
T00000008,U000005,2025-11-19,push,renewal_reminder,0,1,1,0
T00000009,U000006,2026-01-08,email,renewal_reminder,0,1,0,0
T00000010,U000007,2025-08-22,push,renewal_reminder,0,1,0,0
T00000011,U000007,2025-09-18,email,renewal_reminder,0,1,0,0
T00000012,U000007,2025-12-16,email,renewal_reminder,0,1,0,0
T00000013,U000009,2025-08-27,push,renewal_reminder,0,1,0,0
T00000014,U000009,2025-09-26,email,renewal_reminder,0,1,0,0
T00000015,U000009,2025-10-23,email,renewal_reminder,0,1,1,0
T00000016,U000009,2025-12-23,push,renewal_reminder,0,1,0,0
T00000017,U000009,2026-01-24,email,renewal_reminder,0,1,1,0
T00000018,U000010,2025-10-24,email,renewal_reminder,0,1,1,0
T00000019,U000011,2026-01-15,email,renewal_reminder,0,1,0,0
T00000020,U000017,2025-12-05,push,renewal_reminder,0,1,0,0
T00000021,U000018,2025-10-03,push,renewal_reminder,0,1,0,0
T00000022,U000018,2025-11-01,push,renewal_reminder,0,1,0,0
T00000023,U000018,2025-11-30,inapp,renewal_reminder,0,1,0,0
T00000024,U000020,2025-11-25,push,renewal_reminder,0,1,0,0
T00000025,U000021,2025-11-05,email,renewal_reminder,0,1,0,0
T00000026,U000021,2025-12-05,email,renewal_reminder,0,1,0,0
T00000027,U000021,2026-01-06,email,renewal_reminder,0,1,0,0
T00000028,U000022,2025-11-29,email,renewal_reminder,0,1,0,0
T00000029,U000023,2025-07-16,inapp,renewal_reminder,0,1,1,0
T00000030,U000023,2025-11-12,email,renewal_reminder,0,1,0,0
T00000031,U000024,2026-01-18,inapp,renewal_reminder,0,1,0,0
T00000032,U000025,2025-12-11,email,renewal_reminder,0,1,0,0
T00000033,U000025,2026-01-13,email,renewal_reminder,0,1,0,0
T00000034,U000026,2025-11-06,inapp,renewal_reminder,0,1,0,0
T00000035,U000027,2025-10-07,push,renewal_reminder,0,1,0,0
T00000036,U000029,2025-10-17,email,renewal_reminder,0,1,0,0
T00000037,U000029,2025-12-17,email,renewal_reminder,0,1,0,0
T00000038,U000029,2026-01-16,email,renewal_reminder,0,1,1,0
T00000039,U000030,2025-09-27,inapp,renewal_reminder,0,1,0,0
T00000040,U000030,2025-10-25,email,renewal_reminder,0,1,0,0
T00000041,U000030,2025-11-24,email,renewal_reminder,0,1,1,0
T00000042,U000030,2025-12-24,push,renewal_reminder,0,1,1,0
T00000043,U000030,2026-01-22,email,renewal_reminder,0,1,0,0
T00000044,U000031,2025-09-20,email,renewal_reminder,0,1,0,0
T00000045,U000031,2025-10-19,inapp,renewal_reminder,0,1,0,0
T00000046,U000031,2026-01-21,email,renewal_reminder,0,1,0,0
T00000047,U000032,2025-08-03,email,renewal_reminder,0,1,0,0
T00000048,U000032,2025-10-02,inapp,renewal_reminder,0,1,0,0
T00000049,U000032,2025-12-30,email,renewal_reminder,0,1,0,0
T00000050,U000034,2026-01-15,email,renewal_reminder,0,1,0,0
T00000051,U000036,2025-08-19,email,renewal_reminder,0,1,0,0
T00000052,U000038,2026-01-24,push,renewal_reminder,0,1,0,0
T00000053,U000039,2025-09-12,email,renewal_reminder,0,1,0,0
T00000054,U000039,2025-11-11,push,renewal_reminder,0,1,0,0
T00000055,U000040,2025-11-08,inapp,renewal_reminder,0,1,0,0
T00000056,U000041,2025-09-11,push,,0,1,0,0
T00000057,U000041,2026-01-08,email,renewal_reminder,0,1,0,0
T00000058,U000042,2026-01-11,email,renewal_reminder,0,1,0,0
T00000059,U000043,2025-11-23,push,renewal_reminder,0,1,0,0
T00000060,U000043,2026-01-22,email,renewal_reminder,0,1,0,0
T00000061,U000045,2025-07-16,push,renewal_reminder,0,1,0,0
T00000062,U000045,2025-11-12,email,renewal_reminder,0,1,0,0
T00000063,U000045,2025-12-15,push,renewal_reminder,0,1,0,0
T00000064,U000047,2025-10-22,email,renewal_reminder,0,1,0,0
T00000065,U000047,2025-11-25,email,renewal_reminder,0,1,0,0
T00000066,U000047,2025-12-21,push,renewal_reminder,0,1,0,0
T00000067,U000047,2026-01-22,email,renewal_reminder,0,1,0,0
T00000068,U000048,2026-01-13,inapp,renewal_reminder,0,1,0,0
T00000069,U000049,2026-01-17,inapp,renewal_reminder,0,1,1,0
