payment_id,user_id,subscription_id,payment_date,amount,payment_method,payment_status,failure_reason,retry_count
PAY00000001,U000001,SUB_U000001,2025-05-27,299.0,NetBanking,SUCCESS,,0
PAY00000002,U000001,SUB_U000001,2025-06-26,299.0,UPI,SUCCESS,,0
PAY00000003,U000001,SUB_U000001,2025-07-26,299.0,Wallet,SUCCESS,,0
PAY00000004,U000001,SUB_U000001,2025-08-25,299.0,Wallet,SUCCESS,,0
PAY00000005,U000001,SUB_U000001,2025-09-24,299.0,Card,success,,0
PAY00000006,U000002,SUB_U000002,2025-11-21,299.0,UPI,SUCCESS,,0
PAY00000007,U000002,SUB_U000002,2025-12-21,299.0,Card,SUCCESS,,0
PAY00000008,U000003,SUB_U000003,2025-10-17,499.0,UPI,SUCCESS,,0
PAY00000009,U000003,SUB_U000003,2025-11-17,499.0,NetBanking,SUCCESS,,0
PAY00000010,U000003,SUB_U000003,2025-12-16,499.0,Card,FAILED,UPI_PIN_ERROR,0
PAY00000011,U000004,SUB_U000004,2025-08-30,799.0,Card,SUCCESS,,0
PAY00000012,U000004,SUB_U000004,2025-09-28,799.0,UPI,SUCCESS,,0
PAY00000013,U000004,SUB_U000004,2025-10-30,799.0,Wallet,SUCCESS,,0
PAY00000014,U000004,SUB_U000004,2025-11-28,799.0,Card,SUCCESS,,0
PAY00000015,U000004,SUB_U000004,2025-12-29,799.0,Card,SUCCESS,,0
PAY00000016,U000005,SUB_U000005,2025-08-29,299.0,UPI,SUCCESS,,0
PAY00000017,U000005,SUB_U000005,2025-09-27,299.0,Wallet,SUCCESS,,0
PAY00000018,U000005,SUB_U000005,2025-10-27,299.0,UPI,FAILED,BANK_TIMEOUT,0
PAY00000019,U000005,SUB_U000005,2025-10-28,299.0,UPI,SUCCESS,,1
PAY00000020,U000005,SUB_U000005,2025-11-28,299.0,Card,SUCCESS,,0
PAY00000021,U000005,SUB_U000005,2025-12-27,299.0,UPI,SUCCESS,,0
PAY00000022,U000006,SUB_U000006,2025-12-14,299.0,UPI,SUCCESS,,0
PAY00000023,U000007,SUB_U000007,2025-05-27,299.0,UPI,SUCCESS,,0
PAY00000024,U000007,SUB_U000007,2025-06-28,299.0,Card,SUCCESS,,0
PAY00000025,U000007,SUB_U000007,2025-07-26,299.0,Card,FAILED,CARD_DECLINED,0
PAY00000026,U000007,SUB_U000007,2025-08-26,299.0,UPI,SUCCESS,,0
PAY00000027,U000007,SUB_U000007,2025-09-26,299.0,Card,SUCCESS,,0
PAY00000028,U000007,SUB_U000007,2025-10-24,299.0,UPI,SUCCESS,,0
PAY00000029,U000007,SUB_U000007,2025-11-23,299.0,Card,SUCCESS,,0
PAY00000030,U000007,SUB_U000007,2025-12-25,299.0,Card,SUCCESS,,0
PAY00000031,U000008,SUB_U000008,2025-11-01,299.0,Wallet,SUCCESS,,0
PAY00000032,U000008,SUB_U000008,2025-12-02,299.0,UPI,SUCCESS,,0
PAY00000033,U000008,SUB_U000008,2026-01-02,299.0,UPI,FAILED,UPI_PIN_ERROR,0
PAY00000034,U000008,SUB_U000008,2026-01-03,299.0,Card,SUCCESS,,1
PAY00000035,U000009,SUB_U000009,2025-07-02,799.0,UPI,SUCCESS,,0
PAY00000036,U000009,SUB_U000009,2025-07-31,799.0,Wallet,SUCCESS,,0
PAY00000037,U000009,SUB_U000009,2025-08-30,799.0,UPI,SUCCESS,,0
PAY00000038,U000009,SUB_U000009,2025-10-01,799.0,NetBanking,SUCCESS,,0
PAY00000039,U000009,SUB_U000009,2025-10-30,799.0,Wallet,SUCCESS,,0
PAY00000040,U000009,SUB_U000009,2025-11-30,799.0,UPI,SUCCESS,,0
PAY00000041,U000009,SUB_U000009,2025-12-28,799.0,NetBanking,SUCCESS,,0
PAY00000042,U000010,SUB_U000010,2025-06-01,499.0,UPI,SUCCESS,,0
PAY00000043,U000010,SUB_U000010,2025-07-01,499.0,UPI,SUCCESS,,0
PAY00000044,U000010,SUB_U000010,2025-08-02,499.0,UPI,FAILED,CARD_DECLINED,0
PAY00000045,U000010,SUB_U000010,2025-08-03,499.0,UPI,SUCCESS,,1
PAY00000046,U000010,SUB_U000010,2025-08-30,499.0,Card,SUCCESS,,0
PAY00000047,U000010,SUB_U000010,2025-09-30,499.0,UPI,SUCCESS,,0
PAY00000048,U000010,SUB_U000010,2025-10-31,499.0,Card,SUCCESS,,0
