user_id,signup_date,city_tier,segment,preferred_device,acquisition_channel
U000001,2025-05-27,1,value,mobile,paid_social
U000002,2025-11-15,1,regular,web,search
U000003,2025-10-16,1,regular,web,referral
U000004,2025-08-23,2,regular,web,referral
U000005,2025-08-21,1,regular,mobile,organic
U000006,2025-12-06,3,value,mobile,organic
U000007,2025-05-26,3,value,mobile,organic
U000008,2025-10-27,3,value,web,organic
U000009,2025-06-24,2,premium,web,search
U000010,2025-05-28,3,value,web,organic
U000011,2025-09-14,1,premium,mobile,paid_social
U000012,2026-01-04,2,value,web,organic
U000013,2025-11-05,2,value,web,organic
U000014,2025-11-12,3,value,mobile,paid_social
U000015,2025-11-01,2,value,web,search
U000016,2025-11-18,3,regular,mobile,search
U000017,2025-09-10,1,regular,web,referral
U000018,2025-06-06,3,value,,email
U000019,2025-12-01,2,regular,web,search
U000020,2025-08-26,2,regular,web,organic
U000021,2025-09-07,3,premium,web,organic
U000022,2025-08-06,2,premium,web,email
U000023,2025-06-19,2,regular,mobile,paid_social
U000024,2025-12-23,2,regular,web,paid_social
U000025,2025-11-17,1,regular,web,paid_social
U000026,2025-10-13,2,regular,mobile,organic
U000027,2025-08-14,1,regular,web,search
U000028,2025-11-27,1,value,mobile,referral
U000029,2025-09-18,3,regular,mobile,referral
U000030,2025-08-24,2,premium,web,organic
U000031,2025-08-26,2,value,mobile,paid_social
U000032,2025-07-01,2,regular,web,organic
U000033,2025-05-28,2,premium,web,email
U000034,2025-09-21,2,value,web,organic
U000035,2025-12-13,3,regular,mobile,paid_social
U000036,2025-05-21,3,premium,mobile,organic
U000037,2025-12-06,2,premium,web,paid_social
U000038,2025-11-28,2,value,mobile,paid_social
U000039,2025-07-13,2,value,web,organic
U000040,2025-10-10,2,regular,mobile,referral
U000041,2025-06-15,2,value,mobile,referral
U000042,2025-11-11,2,value,mobile,referral
U000043,2025-10-27,2,value,mobile,organic
U000044,2025-08-01,2,value,mobile,paid_social
U000045,2025-05-22,2,regular,web,search
U000046,2026-01-03,2,regular,mobile,paid_social
U000047,2025-08-24,1,regular,mobile,search
U000048,2025-12-15,1,regular,mobile,paid_social
U000049,2025-10-22,2,regular,web,organic
U000050,2025-11-16,2,value,mobile,search
U000051,2025-11-11,1,value,web,organic
U000052,2025-06-22,2,value,web,organic
U000053,2025-08-04,3,value,web,organic
U000054,2025-08-30,2,value,web,organic
U000055,2025-09-06,3,value,mobile,referral
U000056,2025-05-15,3,value,web,search
U000057,2025-09-19,2,regular,mobile,organic
